game_id,game_date,table_id,game_duration,final_score_red,final_score_blue,winner,player_id,player_name,player_canonical_name,player_age,player_goals,team_color
G021654,25-10-30,T29,,7,2,,P0584,Leo Laurent,Leo Laurent,,2,Blue
G001185,25-09-17,T27,00:10:00,5,7,Blue,P0126,Carlos,Carlos Richard,,5,Blue
G001683,23-10-20,T17,,0,2,Blue,P0723,M. Richard,Maya Richard,21,2,Blue
G016057,25-02-17,T09,,7,7,,P0168,Pierre Durand,Pierre Durand,,3,Red
G005656,23-03-29,T05,,8,2,Red,P0205,Morgan Nakamura,Morgan Nakamura,,2,Blue
G021512,24-02-11,T20,00:18:14,10,0,Red,P0066,Jamie Girard,Jamie Girard,,0,Red
G003438,24-10-13,T19,00:10:00,10,3,Red,P0111,Mateo Silva,Mateo Silva,,8,Red
G018775,23-12-31,T22,00:32:27,2,10,Blue,P0656,Lucas Martin,Lucas Martin,21,3,Blue
G018806,24-05-17,T14,00:14:00,8,3,Red,P0492,Olivia,Olivia Lopez,,0,Red
G021227,25-08-26,T01,,9,8,Red,P0094,Pierre,Pierre Morel,,4,Blue
G004595,23-08-25,T09,00:07:00,5,2,Red,P0005,Maria Martin,Maria Martin,41,4,Red
G011880,23-10-04,T30,,7,4,Red,P0571,Julie Durand,Julie Durand,28,1,Blue
G016082,23-03-01,T19,,8,0,Red,P0395,N. Faure,Noah Faure,43,0,
G018544,25-08-30,T19,00:13:00,4,5,Blue,P0799,Sarah Bernard,Sarah Bernard,21,4,Blue
G013251,24-07-25,T16,,10,4,Red,P0022,Morgan Rousseau,Morgan Rousseau,27,0,Blue
G013368,25-07-02,T02,00:09:00,7,10,Blue,P0153,Hugo,Hugo Petit,20,1,Red
G008964,23-08-20,T02,,4,5,Blue,P0011,Isabella R.,Isabella Robert,20,5,Blue
G013879,23-03-01,T11,00:05:00,1,10,Blue,P0433,Lena Mercier,Lena Mercier,,0,Blue
G001381,24-11-14,T22,00:15:41,2,7,Blue,P0507,Maya,Maya Rossi,17,6,Blue
G005409,25-02-12,T26,00:16:39,7,,,P0663,Mila Garcia,Mila Garcia,,3,Red
G002543,23-05-29,T30,,2,9,Blue,P0050,Jordan Richard,Jordan Richard,21,1,Red
G006818,24-03-06,T08,00:19:00,2,8,Blue,P0152,Eric,Eric Martin,21,0,Red
G001422,23-08-22,T03,,3,10,Blue,P0379,Noah Faure,Noah Faure,21,4,Blue
G005819,23-01-10,T21,00:40:20,6,10,Blue,P0630,M. Schmidt,Mohamed Schmidt,,4,Red
G010124,25-07-23,T13,00:26:15,1,9,Blue,P0237,Julie Andre,Julie Andre,,5,Blue
G010274,24-04-20,T03,00:16:49,4,,Red,P0645,M. Faure,Morgan Faure,19,1,Red
G007587,25-03-27,T02,00:21:19,3,8,Blue,P0716,Antoine Garcia,Antoine Garcia,22,1,Red
G000237,25-05-02,T08,00:06:00,7,1,Red,P0716,Garcia Antoine,Antoine Garcia,21,1,Blue
G019431,25-08-31,T02,00:17:00,4,0,Red,P0041,Noah,Noah Garcia,,2,Red
G017256,25-04-20,T07,00:10:02,1,2,Blue,P0526,Lopez Liam,Liam Lopez,21,0,Blue
G008914,23-06-27,T06,,1,7,Blue,P0621,Sam Thomas,Sam Thomas,,0,Red
G014602,24-01-09,T26,00:11:07,3,2,Red,P0542,Pierre Andre,Pierre Andre,,0,Blue
G006134,25-03-22,T18,,6,9,Blue,P0655,Lucas Petit,Lucas Petit,,0,Blue
G013169,23-02-19,T28,00:53:44,10,9,Red,P0206,Jamie Moreau,Jamie Moreau,20,9,Blue
G016433,25-01-09,T29,00:48:22,6,6,,P0199,Sofia Petit,Sofia Petit,20,2,Blue
G016758,25-02-15,T23,00:28:17,5,7,Blue,P0194,Noah. Girard,Noah Girard,20,4,Blue
G002144,24-04-24,T11,00:16:58,1,9,Blue,P0212,Paul Robert,Paul Robert,39,4,Blue
G009686,24-10-17,T05,,1,2,Blue,P0762,Riley Schmidt,Riley Schmidt,21,0,Blue
G022869,25-03-06,T15,00:36:22,8,8,,P0208,Rossi Morgan,Morgan Rossi,,6,Red
G010742,23-08-07,T20,00:22:22,8,1,Red,P0650,Jordan. Laurent,Jordan Laurent,21,0,Red
G003212,24-04-23,T12,00:20:37,1,8,Blue,P0624,Morgan Kovacs,Morgan Kovacs,,0,Red
G010945,23-11-02,T19,,4,1,Red,P0177,Nakamura. Casey,Casey Nakamura,21,3,Red
G019542,25-07-04,T16,00:05:00,4,10,Blue,P0638,Youssef,Youssef Kovacs,20,7,Blue
G016231,25-11-21,T08,,0,7,Blue,P0251,Mateo Muller,Mateo Muller,21,3,Blue
G019932,23-01-11,T22,,1,3,Blue,P0198,Hugo Rousseau,Hugo Rousseau,,0,Red
G001922,23-06-07,T24,00:05:26,7,,Red,P0112,Chloe Garnier,Chloe Garnier,,1,Blue
G008043,24-02-18,T07,00:17:00,10,2,,P0315,Camille Richard,Camille Richard,21,1,Blue
G021839,24-11-30,T30,,1,2,Blue,P0495,Olivia,Olivia Laurent,,1,Blue
G009156,25-02-11,T26,00:46:17,7,6,,P0467,Maria Bianchi,Maria Bianchi,21,2,Red
G023426,24-10-28,T20,00:49:45,10,8,Red,P0218,Leroy Eric,Eric Leroy,,2,Blue
G003048,24-12-23,T30,00:34:37,7,4,,P0270,Casey Garnier,Casey Garnier,30,4,Blue
G014719,25-07-25,T09,,2,7,Blue,P0720,L. Morel,Liam Morel,,6,Blue
G005967,23-08-14,T16,,7,3,Red,P0798,Carlos,Carlos Andre,21,1,Blue
G010271,25-02-16,T16,00:16:00,5,9,Blue,P0749,Camille Moreau,Camille Moreau,21,0,Red
G016703,23-10-16,T17,00:12:00,0,7,Blue,P0740,Youssef Andre,Youssef Andre,,7,Blue
G021083,23-01-23,T04,00:06:00,8,7,Red,P0138,Jordan Garcia,Jordan Garcia,,1,Red
G016582,25-07-22,T20,00:06:00,3,3,,P0302,Carlos,Carlos Garcia,37,3,Red
G000193,25-08-10,T20,00:19:00,10,7,Red,P0647,Chloe Nakamura,Chloe Nakamura,20,7,Blue
G022675,24-04-03,T01,,7,10,Blue,P0595,Isabella Thomas,Isabella Thomas,,4,Red
G024069,24-10-18,T07,,7,2,,P0466,Casey Rossi,Casey Rossi,,3,Red
G005445,24-12-15,T22,00:11:00,6,10,Blue,P0017,Sarah Leroy,Sarah Leroy,,5,Red
G021618,24-08-26,T22,,1,2,Blue,P0788,Morgan Morel,Morgan Morel,40,2,Blue
G012943,25-07-17,T06,00:15:00,10,6,Red,P0611,Lena Kim,Lena Kim,21,1,Blue
G024251,25-08-04,T14,,0,1,Blue,P0741,Moreau Julie,Julie Moreau,20,1,Blue
G004763,24-06-15,T17,00:07:00,8,6,Red,P0646,Leo Silva,Leo Silva,20,4,Red
G018627,24-10-09,T19,00:16:41,0,0,,P0705,Sofia Rossi,Sofia Rossi,,0,Blue
G013492,24-07-05,T02,,2,1,,P0582,Ava Schmidt,Ava Schmidt,20,0,Blue
G000204,24-08-16,T26,00:32:26,0,5,Blue,P0568,Carlos. Muller,Carlos Muller,,0,Red
G007383,23-10-07,T05,,7,7,,P0076,E. Garcia,Eric Garcia,,5,Blue
G008149,23-06-05,T16,00:16:00,5,9,Blue,P0289,Lucas Andre,Lucas Andre,20,3,Red
G007632,23-08-15,T21,,6,1,Red,P0377,Jordan,Jordan Moreau,,1,Blue
G011545,24-02-29,T18,00:19:00,6,2,,P0581,Alex L.,Alex Lopez,30,2,Red
G019430,24-04-26,T20,,10,4,,P0089,Mateo Thomas,Mateo Thomas,,3,Blue
G017092_1,25-10-10,T30,00:07:00,5,1,Red,P0065,Antoine Richard,Antoine Richard,21,0,Blue
G022369,24-09-06,T08,00:12:00,4,4,,P0014,Ethan M.,Ethan Moreau,21,1,Blue
G005923,25-01-24,T19,,7,4,Red,P0302,C. Garcia,Carlos Garcia,21,1,Red
G001423,24-03-26,T06,,9,7,Red,P0105,Mohamed Clement,Mohamed Clement,21,2,Red
G017805,24-06-17,T03,00:21:06,10,3,Red,P0643,Chris,Chris Blanc,,3,Red
G015233,25-10-12,T06,00:36:27,5,0,Red,P0513,Isabella Martin,Isabella Martin,21,2,Red
G014297,24-08-07,T16,,9,8,Red,P0480,Jordan,Jordan Clement,21,6,Blue
G017100,23-01-07,T15,,7,9,Blue,P0778,Antoine Girard,Antoine Girard,20,5,Red
G024439,25-05-10,T10,,8,5,,P0496,Chris,Chris Richard,21,2,Blue
G005178,24-04-05,T09,,6,2,Red,P0426,Mohamed Faure,Mohamed Faure,21,3,Red
G005908,23-11-07,T22,,9,9,,P0555,Mohamed Rousseau,Mohamed Rousseau,21,5,Blue
G023659,23-10-09,T12,00:14:00,0,1,Blue,P0168,Pierre,Pierre Durand,21,1,Blue
G008459,24-03-31,T02,00:12:00,8,0,Red,P0258,Taylor Bianchi,Taylor Bianchi,21,6,Red
G019454,24-06-25,T19,,3,10,Blue,P0741,Julie Moreau,Julie Moreau,35,1,Red
G002493,23-01-20,T30,00:55:16,8,10,Blue,P0247,Leo S.,Leo Schmidt,21,7,Red
G021224,23-12-04,T26,,8,9,Blue,P0035,S. Martin,Sofia Martin,21,5,Blue
G023460,24-11-28,T24,00:06:28,6,4,Red,P0225,Riley C.,Riley Clement,20,1,Red
G008679,24-06-24,T02,00:11:00,3,0,Red,P0669,Mercier Luc,Luc Mercier,20,ten,Red
G022193,25-01-08,T17,,3,9,Blue,P0160,Lena Laurent,Lena Laurent,29,2,Red
G004625,25-05-23,T12,00:16:00,10,1,Red,P0763,Ava Philippe,Ava Philippe,30,10,Red
G005935,23-06-14,T16,00:24:50,10,2,,P0007,Sam Philippe,Sam Philippe,20,5,Red
G013037,25-12-28,T09,,5,2,Red,P0262,Alex Bernard,Alex Bernard,,0,Red
G005604,23-11-01,T16,00:12:00,8,2,Red,P0545,Olivia Mercier,Olivia Mercier,20,2,Blue
G008444,23-11-15,T28,00:14:00,5,0,Red,P0482,Jamie Lopez,Jamie Lopez,,2,Red
G011615,24-06-06,T16,00:05:00,0,10,Blue,P0258,T. Bianchi,Taylor Bianchi,,0,Red
G015901,23-09-05,T14,,7,9,Blue,P0739,Muller Morgan,Morgan Muller,21,6,Red
G019125,23-06-30,T24,,5,9,Blue,P0780,Girard Ana,Ana Girard,21,4,Red
G019340,25-09-04,T15,,9,8,Red,P0375,Sarah Thomas,Sarah Thomas,16,6,Blue
G005565,24-06-14,T03,00:16:00,9,6,Red,P0569,Eric Garcia,Eric Garcia,,4,Blue
G020301,25-10-22,T02,00:06:00,5,4,Red,P0334,Mila B.,Mila Bianchi,,0,Blue
G024062,23-06-12,T06,,5,,,P0171,Diego P.,Diego Petit,21,2,Blue
G016977,23-01-26,T22,,8,,Blue,P0373,Olivia G.,Olivia Garcia,21,1,Blue
G005275,24-11-13,T30,,4,1,Red,P0117,Philippe Paul,Paul Philippe,20,1,Blue
G011981,25-12-20,T16,,3,10,Blue,P0716,Antoine Garcia,Antoine Garcia,21,6,Blue
G006874,25-07-12,T12,,5,9,Blue,P0243,Lucas R.,Lucas Rossi,21,2,Blue
G000158,23-06-06,T04,,4,0,Red,P0258,Taylor B.,Taylor Bianchi,,0,Red
G014561,24-02-10,T19,,7,6,Red,P0796,Ava Girard,Ava Girard,45,2,Red
G023176,24-02-29,T22,00:15:19,3,9,Blue,P0703,Leo Moreau,Leo Moreau,,2,Blue
G019424,25-07-03,T18,00:16:00,7,6,Red,P0064,Ethan. Garnier,Ethan Garnier,,5,Blue
G001442,23-12-30,T27,,7,2,Red,P0024,Mila,Mila Schmidt,,2,Blue
G006101,23-08-30,T21,,9,1,,P0173,Chris,Chris Kovacs,21,1,Blue
G013422,24-02-06,T21,00:29:22,6,0,Red,P0746,Antoine Bernard,Antoine Bernard,,0,Blue
G022588,24-01-15,T12,00:14:00,1,2,Blue,P0641,Hugo. Lopez,Hugo Lopez,16,1,Blue
G001434,23-08-15,T05,00:14:00,7,3,Red,P0364,Sarah Morel,Sarah Morel,21,4,Red
G008272,23-04-14,T25,00:41:05,1,10,Blue,P0640,Maya Martin,Maya Martin,20,0,Red
G008813,24-10-09,T02,,2,1,Red,P0273,Sarah P.,Sarah Philippe,,0,Red
G022794,25-04-25,T05,00:07:40,0,,,P0261,Maria,Maria Leroy,20,0,Red
G021635,24-08-05,T19,,10,8,Red,P0111,Mateo,Mateo Silva,,6,Blue
G003175,23-12-26,T11,00:51:25,2,0,Red,P0111,Mateo Silva,Mateo Silva,,0,Blue
G016768,24-12-07,T28,,0,6,Blue,P0539,Chris A.,Chris Andre,22,0,Red
G014471,24-05-19,T19,,6,7,Blue,P0413,Maria Blanc,Maria Blanc,,3,Blue
G010963,24-04-19,T12,00:09:54,7,4,Red,P0009,Liam Girard,Liam Girard,20,1,Red
G015765,24-07-23,T26,00:14:00,4,8,Blue,P0076,E. Garcia,Eric Garcia,21,3,Red
G009092,24-01-24,T30,00:09:00,10,10,,P0612,P. Kovacs,Pierre Kovacs,38,0,Red
G002134,24-10-14,T01,00:18:00,1,6,Blue,P0167,Maria Durand,Maria Durand,36,5,Blue
G005014,23-09-07,T25,00:23:01,9,0,Red,P0124,S. Kovacs,Sam Kovacs,,5,Red
G016719,24-05-18,T06,,9,5,Red,P0556,J. Leroy,Julie Leroy,,4,Red
G009798,25-08-07,T10,,3,5,Blue,P0618,Mohamed Silva,Mohamed Silva,,4,Blue
G002591,25-08-12,T07,,2,9,Blue,P0260,Carlos Garnier,Carlos Garnier,20,4,Blue
G010309,23-02-20,T23,00:57:32,9,4,,P0043,T. Andre,Taylor Andre,20,1,Blue
G000775,24-09-14,T12,00:52:28,5,8,Blue,P0267,Luc Rossi,Luc Rossi,,1,Blue
G010389,25-07-31,T11,,8,8,,P0443,Clement Emma,Emma Clement,29,0,Blue
G010956,23-06-05,T23,,9,9,,P0023,Luc Andre,Luc Andre,,8,Blue
G015937,23-07-08,T04,,5,5,,P0237,Julie Andre,Julie Andre,23,4,Red
G001068,24-08-01,T18,00:21:48,7,6,Red,P0429,P. Kovacs,Pierre Kovacs,,1,Red
G018487,25-05-20,T24,,7,2,,P0455,Hugo Laurent,Hugo Laurent,,3,Red
G003105,24-12-19,T22,,1,7,Blue,P0074,Girard Lena,Lena Girard,20,6,Blue
G006984,25-11-08,T19,00:08:18,8,7,Red,P0035,S. Martin,Sofia Martin,,6,Blue
G002982,24-06-07,T11,00:12:00,9,5,Red,P0103,Maria Bianchi,Maria Bianchi,21,1,Red
G016027,24-02-17,T17,,1,8,Blue,P0086,Morgan Kovacs,Morgan Kovacs,,5,Blue
G005344,25-02-07,T15,,0,3,Blue,P0367,Camille Rossi,Camille Rossi,21,0,Blue
G020571,25-10-20,T25,,8,1,,P0602,Eric Laurent,Eric Laurent,,5,Red
G000097,24-02-09,T19,00:21:48,7,10,Blue,P0255,Alex G.,Alex Garcia,20,0,Blue
G003663,25-01-07,T23,00:14:00,1,0,Red,P0068,Jordan Kovacs,Jordan Kovacs,21,0,Blue
G016768,24-12-07,T28,,0,6,Blue,P0082,Leo Faure,Leo Faure,,0,
G021685,23-10-20,T21,00:27:35,1,6,Blue,P0683,Ava Rossi,Ava Rossi,,0,Red
G003007,25-07-25,T24,,4,8,Blue,P0799,Sarah,Sarah Bernard,21,2,Red
G011945,23-02-21,T26,00:19:00,1,10,Blue,P0318,Morgan,Morgan Bianchi,21,0,Blue
G019654,24-12-05,T02,00:44:14,0,8,Blue,P0599,Taylor,Taylor Moreau,,0,Red
G006325,23-12-22,T16,,5,1,Red,P0054,Noah K.,Noah Kim,21,0,Blue
G002188,24-07-29,T27,,3,10,Blue,P0159,Julien Moreau,Julien Moreau,,3,Red
G017589,24-09-12,T24,00:08:00,2,4,Blue,P0476,Lucas Laurent,Lucas Laurent,20,0,Red
G015903,25-10-12,T16,,6,7,Blue,P0636,Maria,Maria Garnier,18,1,
G012548,24-02-20,T25,,0,0,,P0557,Pierre,Pierre Garcia,21,0,Blue
G001124,23-07-20,T14,,7,3,,P0654,Julie Mercier,Julie Mercier,43,2,Blue
G014274,24-07-27,T23,00:14:00,2,6,Blue,P0389,Alex Richard,Alex Richard,17,6,Blue
G015530,25-04-07,T02,,7,10,Blue,P0717,Mila Mercier,Mila Mercier,21,6,Blue
G002604,25-12-26,T25,,4,2,Red,P0386,Luc Richard,Luc Richard,,0,Blue
G014681,23-01-06,T19,00:48:14,3,,,P0725,Lena,Lena Kim,,0,Red
G019336,23-11-03,T26,,9,10,Blue,P0501,Diego G.,Diego Garnier,,8,Blue
G019794,24-04-23,T25,,5,8,Blue,P0383,Chris Morel,Chris Morel,21,7,Blue
G000219,23-12-26,T23,00:19:34,1,1,,P0647,Chloe Nakamura,Chloe Nakamura,,1,Blue
G009157,24-11-04,T22,00:55:54,0,0,,P0435,Julien,Julien Leroy,21,0,Red
G015212,25-04-29,T16,00:18:50,3,0,Red,P0792,Taylor,Taylor Thomas,,0,Blue
G012627,24-10-30,T18,00:13:59,5,2,,P0779,Ethan,Ethan Bernard,33,1,Blue
G014953,23-02-24,T25,,10,0,Red,P0666,S. Garcia,Sofia Garcia,,0,Blue
G000264,24-01-16,T09,00:17:00,4,8,Blue,P0424,Emma Andre,Emma Andre,,1,Red
G022142,23-11-23,T29,00:18:29,4,1,Red,P0643,C. Blanc,Chris Blanc,20,3,Red
G009871,25-09-19,T15,00:06:00,9,5,Red,P0372,Camille M.,Camille Mercier,,2,Red
G021492,25-01-07,T28,,3,5,Blue,P0106,Leo M.,Leo Moreau,20,1,Red
G005646,24-03-14,T11,,8,3,Red,P0799,Sarah B.,Sarah Bernard,34,5,Red
G024838,25-01-27,T28,00:12:19,0,8,Blue,P0636,Maria Garnier,Maria Garnier,21,0,Red
G018081,25-07-13,T01,00:16:00,7,0,,P0356,Mohamed Philippe,Mohamed Philippe,20,1,Red
G018438,24-02-10,T10,00:07:00,8,4,Red,P0365,Alex Garnier,Alex Garnier,,3,Red
G007714,24-10-24,T04,,5,2,Red,P0012,Maria Blanc,Maria Blanc,,1,Blue
G024010,23-02-16,T04,00:05:26,6,9,Blue,P0093,Eric Andre,Eric Andre,20,2,Red
G007363,23-12-17,T07,00:20:20,0,10,Blue,P0722,Isabella,Isabella Leroy,21,3,Blue
G004946,25-04-21,T26,,7,,Blue,P0020,Paul Bernard,Paul Bernard,,1,Blue
G000275,23-04-24,T19,,3,9,Blue,P0108,Ava B.,Ava Blanc,32,9,Blue
G013934,24-11-30,T06,,5,1,Red,P0665,L. Nakamura,Lena Nakamura,21,0,Red
G008102,23-04-03,T29,,4,0,Red,P0561,Youssef,Youssef Laurent,20,2,Red
G012777,23-05-03,T29,00:11:00,10,0,Red,P0419,Sarah Rousseau,Sarah Rousseau,,4,Red
G011706,24-10-08,T27,00:08:00,9,2,Red,P0662,Mila,Mila Faure,20,1,Blue
G019288,24-09-21,T07,00:12:40,2,,,P0072,Taylor,Taylor Garnier,20,0,Blue
G017849,25-01-27,T05,00:16:00,7,3,,P0069,Casey T.,Casey Thomas,,7,Red
G015816,25-10-09,T09,00:53:20,3,6,Blue,P0008,Robert Chris,Chris Robert,16,0,Blue
G001048,23-08-30,T23,00:53:39,8,5,Red,P0510,Noah Moreau,Noah Moreau,,2,Blue
G017097,24-10-15,T30,,9,9,,P0330,Carlos Blanc,Carlos Blanc,,9,Red
G009063,24-05-06,T05,,9,4,Red,P0779,Ethan Bernard,Ethan Bernard,20,4,Blue
G004512,24-08-22,T03,00:46:46,1,4,Blue,P0286,Jamie Robert,Jamie Robert,21,0,Blue
G022906,25-03-07,T16,00:15:00,3,,Red,P0553,Ethan Blanc,Ethan Blanc,38,9,Blue
G017522,24-03-23,T26,,10,2,Red,P0199,Sofia Petit,Sofia Petit,,5,Red
G016738,25-05-25,T18,00:08:00,10,9,Red,P0516,A. Morel,Ava Morel,,7,Red
G021217,24-01-22,T16,,4,3,Red,P0281,Chloe Girard,Chloe Girard,,3,Blue
G006764,23-05-11,T07,00:14:00,10,,Red,P0718,Julien Muller,Julien Muller,20,ten,Blue
G017485,23-03-11,T01,00:09:00,5,2,Red,P0765,R. Thomas,Riley Thomas,,1,Red
G008412,25-03-13,T01,,4,5,Blue,P0113,Antoine Faure,Antoine Faure,,1,Red
G004254,23-10-27,T17,,10,5,Red,P0408,Chloe Kovacs,Chloe Kovacs,,3,Blue
G011543,25-05-21,T26,,0,,,P0240,L. Schmidt,Leo Schmidt,20,7,Blue
G012048,24-11-08,T05,00:50:03,4,2,Red,P0737,Nakamura Riley,Riley Nakamura,,1,Red
G011352,23-03-27,T29,,2,6,Blue,P0187,Jamie G.,Jamie Garcia,20,6,Blue
G016004,24-02-04,T24,,6,2,Red,P0309,H. Morel,Hugo Morel,,0,Blue
G005553,25-08-02,T01,00:09:00,3,7,Blue,P0137,L. Kovacs,Lena Kovacs,,2,Red
G011546,25-11-30,T23,00:38:38,7,2,Red,P0478,Maria Thomas,Maria Thomas,20,1,Blue
G023384,23-03-03,T20,,4,1,,P0663,Mila Garcia,Mila Garcia,17,1,Blue
G012495,24-02-27,T22,00:09:00,4,6,Blue,P0800,Casey Kovacs,Casey Kovacs,38,1,Red
G007579,25-02-16,T21,00:48:55,2,3,Blue,P0137,Lena Kovacs,Lena Kovacs,20,1,Red
G014842,24-05-11,T25,,5,10,Blue,P0155,Mohamed Robert,Mohamed Robert,,3,Red
G018838,23-09-30,T18,,1,2,Blue,P0001,Casey,Casey Philippe,21,0,Blue
G018344,25-12-10,T29,00:26:34,8,5,Red,P0404,Julien,Julien Garnier,,3,Red
G004419,24-11-03,T12,,2,10,Blue,P0055,O. Nakamura,Olivia Nakamura,,0,Red
G015079,25-05-02,T27,,8,1,Red,P0520,Lena Martin,Lena Martin,,8,Red
G005660,24-01-15,T30,,10,,Blue,P0352,Julie G.,Julie Garnier,21,8,Blue
G000008,23-07-03,T30,00:17:00,0,4,Blue,P0506,Maya Durand,Maya Durand,20,0,Red
G016240,25-12-08,T02,00:42:46,0,,,P0264,Moreau Ethan,Ethan Moreau,,0,Red
G013075,25-09-09,T08,,5,8,Blue,P0233,Robert Luc,Luc Robert,,4,Blue
G013369,25-06-05,T14,,4,6,Blue,P0105,M. Clement,Mohamed Clement,,6,Blue
G015900,23-11-29,T08,,7,5,,P0046,Garnier Lena,Lena Garnier,20,5,Blue
G004870,23-12-08,T06,00:13:00,1,3,Blue,P0521,Liam Kim,Liam Kim,33,1,Red
G011701,24-02-09,T13,00:10:00,8,8,,P0316,R. Lopez,Riley Lopez,21,3,Blue
G024605,24-07-15,T24,00:52:58,0,8,Blue,P0351,Jordan Robert,Jordan Robert,,8,Blue
G001062,23-08-26,T22,,5,10,Blue,P0070,Leo S.,Leo Schmidt,,4,Red
G015716,25-05-31,T29,00:17:00,3,4,Blue,P0532,Olivia Kim,Olivia Kim,,4,Blue
G017253,25-01-13,T05,,9,10,Blue,P0241,Lucas Nakamura,Lucas Nakamura,37,8,Blue
G023973,23-07-05,T29,00:14:22,7,,,P0786,Mohamed K.,Mohamed Kovacs,20,6,Red
G019998,23-02-24,T21,00:15:00,6,1,,P0464,Liam Bernard,Liam Bernard,36,1,Blue
G016876,24-03-15,T13,00:28:57,0,10,Blue,P0514,Leo,Leo Philippe,,3,Blue
G004365,24-01-13,T07,,9,9,,P0703,Leo Moreau,Leo Moreau,21,6,Red
G013046,24-04-04,T28,00:46:48,5,2,Red,P0345,Garnier Liam,Liam Garnier,27,2,Blue
G012987,24-03-12,T09,,8,5,Red,P0040,Antoine Rousseau,Antoine Rousseau,,5,Red
G014374,23-04-06,T03,00:18:00,8,9,Blue,P0194,Noah,Noah Girard,20,9,Blue
G019179,25-02-22,T16,00:55:56,3,1,Red,P0096,Antoine Nakamura,Antoine Nakamura,,2,Red
G004762,23-07-02,T23,00:41:54,0,3,Blue,P0521,Liam Kim,Liam Kim,,0,Red
G006936,24-10-26,T03,00:43:18,9,4,Red,P0557,Pierre Garcia,Pierre Garcia,20,4,Blue
G011784,25-03-26,T19,,4,10,Blue,P0373,Olivia Garcia,Olivia Garcia,20,2,Blue
G007940,23-04-08,T14,00:17:00,7,5,Red,P0751,Lena Martin,Lena Martin,,4,Blue
G001125,23-04-14,T21,00:19:00,9,2,Red,P0367,Camille Rossi,Camille Rossi,21,1,Blue
G022707,25-01-29,T30,,9,6,Red,P0263,Petit Mila,Mila Petit,21,5,Red
G007262,24-06-12,T03,,2,3,Blue,P0396,Bianchi Mila,Mila Bianchi,,1,Blue
G013591,25-02-17,T28,00:12:00,6,9,Blue,P0285,Sofia Clement,Sofia Clement,41,4,Blue
G002389,24-04-03,T10,,7,10,Blue,P0182,Ethan M.,Ethan Mercier,,1,Red
G004878,24-05-28,T06,,8,0,Red,P0458,Diego Rousseau,Diego Rousseau,21,0,Blue
G013512,23-08-09,T28,,4,0,Red,P0659,Hugo Morel,Hugo Morel,,0,Blue
G024532,23-08-10,T24,00:15:00,6,5,,P0077,Casey,Casey Garcia,,2,Blue
